,precision,recall,f1-score,support
0,1,1,1,18
1,1,1,1,18
2,0.99103139,0.997742664,0.994375703,443
3,1,0.9958159,0.997903564,239
4,1,1,1,29
5,0,0,0,16
6,0.633333333,0.863636364,0.730769231,22
7,0.884615385,0.766666667,0.821428571,30
8,1,1,1,27
9,1,1,1,24
10,1,0.98245614,0.991150442,57
11,1,1,1,65
12,1,1,1,32
13,1,1,1,28
14,1,1,1,19
15,1,1,1,24
16,0.947368421,0.9,0.923076923,20
17,1,1,1,21
18,1,1,1,23
19,1,1,1,12
20,0.882352941,0.789473684,0.833333333,19
21,0.736842105,0.7,0.717948718,20
22,1,0.983606557,0.991735537,61
23,1,1,1,14
24,0.882352941,1,0.9375,120
accuracy,0.970021413,0.970021413,0.970021413,0.970021413
macro avg,0.918315861,0.919175919,0.917568881,1401
weighted avg,0.96133474,0.970021413,0.964933945,1401
